log_id,customer_id,total_weight,total_calories,timestamp,total_carb,total_fat,total_protein,total_ca,total_p,total_k,total_fe,total_zn,total_mg
20241228_sesac02_1,sesac02,222.0,120.58,2024-12-28 17:54,7.32,9.19,8.13,89.02,107.5,562.06,3.22,1.19,86.1
20241228_sesac03_1,sesac03,282.81,157.32,2024-12-28 17:57,11.08,11.7,9.34,91.26,121.71,727.95,3.78,1.49,96.98
20241230_sesac01_1,sesac01,135.03,128.44,2024-12-30 15:12,24.21,2.2,4.07,43.46,62.28,340.96,1.96,0.8,36.27
20241230_sesac02_1,sesac02,132.8,145.89,2024-12-30 15:20,13.44,7.37,8.46,65.89,94.99,496.32,2.86,1.16,53.2
20241230_sesac02_2,sesac02,89.22,176.8,2024-12-30 16:17,25.78,4.66,6.67,14.04,78.08,118.45,1.05,0.96,6.53
20241230_sesac03_3,sesac03,77.0,93.2,2024-12-30 17:48,19.61,0.42,2.14,8.41,37.82,55.66,0.46,0.46,5.93
20241230_sesac03_4,sesac03,104.65,137.11,2024-12-30 19:09,29.32,0.47,2.9,9.29,51.45,71.29,0.64,0.64,5.94
20241230_sesac03_5,sesac03,104.58,176.38,2024-12-30 20:19,26.08,4.35,6.82,13.64,83.97,84.01,0.82,0.97,6.32
20241231_sesac03_1,sesac03,291.69,144.45,2024-12-31 11:14,28.2,2.09,7.04,91.3,101.57,753.93,3.14,1.06,72.95
20241231_sesac03_2,sesac03,545.05,412.52,2024-12-31 11:18,84.32,4.51,9.08,92.99,176.45,737.89,2.17,1.97,62.17
20241231_sesac03_3,sesac03,9.49,7.12,2024-12-31 15:40,0.73,0.45,0.39,7.13,4.66,59.08,0.34,0.08,6.32
20241231_sesac03_4,sesac03,430.18,685.83,2024-12-31 15:49,150.99,0.92,11.8,7.37,258.11,300.51,0.74,2.77,0.0
20241231_sesac03_5,sesac03,9.87,7.4,2024-12-31 15:50,0.75,0.47,0.41,7.42,4.85,61.44,0.35,0.08,6.57
20241231_sesac03_6,sesac03,225.31,359.21,2024-12-31 15:56,79.08,0.48,6.18,3.86,135.19,157.4,0.39,1.45,0.0
20241231_sesac02_1,sesac02,313.38,549.36,2024-12-31 17:43,92.37,11.1,15.85,24.4,240.07,440.74,1.54,3.36,17.74
20241231_sesac01_1,sesac01,371.85,243.66,2024-12-31 17:54,30.37,9.51,9.53,26.89,84.13,380.56,1.33,1.49,19.81
20241231_sesac01_2,sesac01,433.05,717.87,2024-12-31 18:01,126.73,9.69,27.31,300.15,520.9,696.08,4.62,3.29,135.83
20241231_sesac01_3,sesac01,497.02,750.31,2024-12-31 18:05,135.87,11.53,21.65,54.09,301.19,468.49,3.91,3.73,32.45
20241231_sesac03_8,sesac03,328.99,687.08,2024-12-31 18:10,62.18,35.16,32.57,140.01,460.34,1255.46,4.85,5.53,57.08
20241231_sesac03_9,sesac03,295.5,339.76,2024-12-31 18:19,19.69,22.34,19.24,78.54,232.61,678.56,3.08,3.3,74.19
20241231_sesac02_2,sesac02,380.01,282.05,2024-12-31 18:23,49.73,4.37,15.8,109.71,215.03,1104.19,4.23,2.27,57.13
20241231_sesac02_3,sesac02,380.01,282.05,2024-12-31 18:23,49.73,4.37,15.8,109.71,215.03,1104.19,4.23,2.27,57.13
20250103_sesac03_1,sesac03,51.17,96.45,2025-01-03 16:16:24,10.0,4.42,4.68,28.28,74.57,172.11,0.84,0.66,8.39
20250103_sesac03_2,sesac03,50.06,145.18,2025-01-03 16:27:11,4.99,9.79,8.33,7.48,82.71,173.9,0.67,1.62,9.12
20250103_sesac03_3,sesac03,46.54,142.04,2025-01-03 16:35:14,4.95,9.6,8.02,4.87,76.65,170.46,0.61,1.61,8.86
20250103_sesac03_4,sesac03,46.54,142.04,2025-01-03 16:36:01,4.95,9.6,8.02,4.87,76.65,170.46,0.61,1.61,8.86
20250103_sesac03_5,sesac03,46.54,142.04,2025-01-03 16:36:17,4.95,9.6,8.02,4.87,76.65,170.46,0.61,1.61,8.86
20250103_sesac03_6,sesac03,46.39,141.58,2025-01-03 16:46:00,4.94,9.57,8.0,4.86,76.41,169.91,0.6,1.61,8.83
20250103_sesac03_7,sesac03,52.55,152.4,2025-01-03 17:15:39,5.23,10.28,8.75,7.85,86.83,182.55,0.7,1.7,9.57
20250103_sesac03_8,sesac03,61.1,27.32,2025-01-03 17:20:42,1.4,1.3,2.57,11.27,28.02,103.29,0.64,0.32,6.77
20250104_sesac03_1,sesac03,58.59,171.06,2025-01-04 11:25:14,5.89,11.54,9.8,8.42,96.77,204.96,0.78,1.91,10.73
20250104_sesac03_2,sesac03,11.76,28.26,2025-01-04 12:16:27,0.91,1.89,1.73,3.48,19.63,33.58,0.17,0.29,1.83
20250104_sesac03_3,sesac03,52.03,151.25,2025-01-04 12:45:21,5.2,10.2,8.67,7.67,85.96,181.19,0.69,1.68,9.49
20250104_sesac03_4,sesac03,52.21,151.68,2025-01-04 13:06:17,5.21,10.23,8.7,7.72,86.26,181.7,0.7,1.69,9.52
20250104_sesac03_5,sesac03,46.720000000000006,142.47,2025-01-04 13:18:05,4.97,9.63,8.05,4.93,76.95,170.97,0.61,1.62,8.88
20250104_sesac03_6,sesac03,51.4,149.04,2025-01-04 13:27:12,5.12,10.05,8.55,7.69,84.93,178.54,0.69,1.66,9.36
